name;address
Stephansdom;Stephansplatz 3, 1010 Wien, Austria
Kunsthistorisches Museum;Maria-Theresien-Platz, 1010 Wien, Austria
Schönbrunn Palace;Schönbrunner Schloßstraße 47, 1130 Wien, Austria
Naschmarkt;Kettenbrückengasse U4 Station, 1050 Wien, Austria
Haus der Musik;Seilerstätte 30, 1010 Wien, Austria
Tiergarten;Maxingstraße 13b, 1130 Wien, Austria
MuseumsQuartier;Museumsplatz 1, 1070 Wien, Austria
Staatsoper;Opernring 2, 1010 Wien, Austria
Schloss Belvedere;Prinz-Eugen-Straße 27, 1030 Wien, Austria
Hofburg;Neue Burg Heldenplatz Untergeschoß, Heldenplatz, 1010 Wien, Austria
Museum Judenplatz;Judenpl. 8, 1010 Wien, Austria
Albertina Modern;Karlsplatz 5, 1010 Wien, Austria
Naturhistorisches Museum;Burgring 7, 1010 Wien, Austria
Rathaus;Friedrich-Schmidt-Platz 1, 1010 Wien, Austria
Riesenrad;Gaudeegasse 1, 1020 Wien, Austria
Spanische Hofreitschule;Michaelerplatz 1, 1010 Wien, Austria
Kapuzinergruft;Tegetthoffstraße 2, 1010 Wien, Austria
Peterskirche;Peterspl. 1, 1010 Wien, Austria
Demel;Kohlmarkt 14, 1010 Wien, Austria
Karlskirche;Karlskirche, Karlsplatz 10, 1040 Wien, Austria
Donauturm;Donauturmplatz 1, 1220 Wien, Austria
Hundertwasserhaus;Kegelgasse 36-38, 1030 Wien, Austria
Donauinsel (Nordbrücke);794H+FF Vienna, Austria
Donauinsel (Bim Floridsdorfer Brücke);69XQ+F6 Vienna, Austria
Donauinsel (U6); Sportinsel, 1210 Wien, Austria
Donauinsel (Brigittenauer Brücke);Brigittenauer Brücke, 1210 Wien, Austria
Donauinsel (U1);Reichsbrücke 215, 1020 Wien, Austria
Donauinsel (Kaisermühlenbrücke);Kaisermühlenbrücke, 1220 Wien, Austria
Donauinsel (U2);Donauinsel Umkehrpunkt, Austria
Donauinsel (Steinspornbrücke);Steinspornbrücke 2, 1220 Wien, Austria
Donauinsel (Kraftwerkbrücke);Kraftwerk Freudenau 370/1, 1020 Wien, Austria
Donauinsel (Walulisobrücke);Campingplatz Ost, 1220 Wien, Austria
Donauinsel (Gerhard Weber Wehrbrücke);Schleusenbrücke Wehr 2, 1220 Wien, Austria
Parlament;Dr. Karl Renner-Ring 3, 1017 Wien, Austria
