place1index;place2index;place1name;place2name;mode;duration;distance
0;1;Stephansdom;Kunsthistorisches Museum;walking;13.883333333333333;1100
0;1;Stephansdom;Kunsthistorisches Museum;transit;6.5;1593
0;1;Stephansdom;Kunsthistorisches Museum;bicycling;6.483333333333333;1806
0;1;Stephansdom;Kunsthistorisches Museum;driving;8.65;2634
0;2;Stephansdom;Schönbrunn Palace;walking;93.81666666666666;7415
0;2;Stephansdom;Schönbrunn Palace;transit;35.45;8019
0;2;Stephansdom;Schönbrunn Palace;bicycling;23.05;6525
0;2;Stephansdom;Schönbrunn Palace;driving;17.783333333333335;7245
0;3;Stephansdom;Naschmarkt;walking;23.05;1810
0;3;Stephansdom;Naschmarkt;transit;10.683333333333334;1938
0;3;Stephansdom;Naschmarkt;bicycling;8.666666666666666;2327
0;3;Stephansdom;Naschmarkt;driving;9.5;2914
0;4;Stephansdom;Haus der Musik;walking;8.383333333333333;676
0;4;Stephansdom;Haus der Musik;transit;8.383333333333333;676
0;4;Stephansdom;Haus der Musik;bicycling;3.2666666666666666;672
0;4;Stephansdom;Haus der Musik;driving;6.116666666666666;1689
0;5;Stephansdom;Tiergarten;walking;88.36666666666666;7043
0;5;Stephansdom;Tiergarten;transit;30.55;7573
0;5;Stephansdom;Tiergarten;bicycling;26.1;7582
0;5;Stephansdom;Tiergarten;driving;21.316666666666666;8596
0;6;Stephansdom;MuseumsQuartier;walking;17.783333333333335;1386
0;6;Stephansdom;MuseumsQuartier;transit;9.166666666666666;1794
0;6;Stephansdom;MuseumsQuartier;bicycling;8.7;2227
0;6;Stephansdom;MuseumsQuartier;driving;10.483333333333333;2755
0;7;Stephansdom;Staatsoper;walking;10.283333333333333;836
0;7;Stephansdom;Staatsoper;transit;7.583333333333333;1225
0;7;Stephansdom;Staatsoper;bicycling;5.133333333333334;1378
0;7;Stephansdom;Staatsoper;driving;6.766666666666667;1897
0;8;Stephansdom;Schloss Belvedere;walking;30.016666666666666;2315
0;8;Stephansdom;Schloss Belvedere;transit;19.466666666666665;3718
0;8;Stephansdom;Schloss Belvedere;bicycling;11.633333333333333;2821
0;8;Stephansdom;Schloss Belvedere;driving;8.866666666666667;2702
0;9;Stephansdom;Hofburg;walking;12.833333333333334;1023
0;9;Stephansdom;Hofburg;transit;11.7;2004
0;9;Stephansdom;Hofburg;bicycling;5.683333333333334;1073
0;9;Stephansdom;Hofburg;driving;9.3;2730
0;10;Stephansdom;Museum Judenplatz;walking;7.233333333333333;581
0;10;Stephansdom;Museum Judenplatz;transit;6.116666666666666;924
0;10;Stephansdom;Museum Judenplatz;bicycling;2.9;581
0;10;Stephansdom;Museum Judenplatz;driving;5.983333333333333;1258
0;11;Stephansdom;Albertina Modern;walking;13.983333333333333;1139
0;11;Stephansdom;Albertina Modern;transit;5.016666666666667;1226
0;11;Stephansdom;Albertina Modern;bicycling;6.083333333333333;1462
0;11;Stephansdom;Albertina Modern;driving;6.6;1870
0;12;Stephansdom;Naturhistorisches Museum;walking;16.216666666666665;1295
0;12;Stephansdom;Naturhistorisches Museum;transit;7.483333333333333;1677
0;12;Stephansdom;Naturhistorisches Museum;bicycling;7.433333333333334;2133
0;12;Stephansdom;Naturhistorisches Museum;driving;10.466666666666667;3203
0;13;Stephansdom;Rathaus;walking;21.166666666666668;1683
0;13;Stephansdom;Rathaus;transit;14.916666666666666;2282
0;13;Stephansdom;Rathaus;bicycling;9.1;2259
0;13;Stephansdom;Rathaus;driving;11.2;3581
0;14;Stephansdom;Riesenrad;walking;30.7;2471
0;14;Stephansdom;Riesenrad;transit;13.7;2694
0;14;Stephansdom;Riesenrad;bicycling;10.666666666666666;3130
0;14;Stephansdom;Riesenrad;driving;9.366666666666667;2553
0;15;Stephansdom;Spanische Hofreitschule;walking;8.066666666666666;649
0;15;Stephansdom;Spanische Hofreitschule;transit;8.066666666666666;649
0;15;Stephansdom;Spanische Hofreitschule;bicycling;4.583333333333333;723
0;15;Stephansdom;Spanische Hofreitschule;driving;7.883333333333334;2141
0;16;Stephansdom;Kapuzinergruft;walking;5.916666666666667;469
0;16;Stephansdom;Kapuzinergruft;transit;5.916666666666667;469
0;16;Stephansdom;Kapuzinergruft;bicycling;4.283333333333333;621
0;16;Stephansdom;Kapuzinergruft;driving;8.25;2248
0;17;Stephansdom;Peterskirche;walking;3.283333333333333;260
0;17;Stephansdom;Peterskirche;transit;3.216666666666667;260
0;17;Stephansdom;Peterskirche;bicycling;2.3666666666666667;417
0;17;Stephansdom;Peterskirche;driving;5.183333333333334;956
0;18;Stephansdom;Demel;walking;6.683333333333334;542
0;18;Stephansdom;Demel;transit;6.683333333333334;542
0;18;Stephansdom;Demel;bicycling;5.483333333333333;1180
0;18;Stephansdom;Demel;driving;5.316666666666666;1362
0;19;Stephansdom;Karlskirche;walking;17.183333333333334;1391
0;19;Stephansdom;Karlskirche;transit;8.533333333333333;1294
0;19;Stephansdom;Karlskirche;bicycling;6.15;1454
0;19;Stephansdom;Karlskirche;driving;7.4;2001
0;20;Stephansdom;Donauturm;walking;70.6;5675
0;20;Stephansdom;Donauturm;transit;25.733333333333334;5747
0;20;Stephansdom;Donauturm;bicycling;22.9;6943
0;20;Stephansdom;Donauturm;driving;16.183333333333334;6880
0;21;Stephansdom;Hundertwasserhaus;walking;23.75;1895
0;21;Stephansdom;Hundertwasserhaus;transit;16.016666666666666;2601
0;21;Stephansdom;Hundertwasserhaus;bicycling;9.583333333333334;2492
0;21;Stephansdom;Hundertwasserhaus;driving;6.933333333333334;2534
0;22;Stephansdom;Donauinsel (Nordbrücke);walking;82.86666666666666;6671
0;22;Stephansdom;Donauinsel (Nordbrücke);transit;47.31666666666667;6989
0;22;Stephansdom;Donauinsel (Nordbrücke);bicycling;25.733333333333334;7213
0;22;Stephansdom;Donauinsel (Nordbrücke);driving;14.466666666666667;8873
0;23;Stephansdom;Donauinsel (Bim Floridsdorfer Brücke);walking;69.2;5550
0;23;Stephansdom;Donauinsel (Bim Floridsdorfer Brücke);transit;33.6;5863
0;23;Stephansdom;Donauinsel (Bim Floridsdorfer Brücke);bicycling;24.383333333333333;7487
0;23;Stephansdom;Donauinsel (Bim Floridsdorfer Brücke);driving;13.766666666666667;6399
0;24;Stephansdom;Donauinsel (U6);walking;67.91666666666667;5426
0;24;Stephansdom;Donauinsel (U6);transit;24.55;5805
0;24;Stephansdom;Donauinsel (U6);bicycling;22.883333333333333;6874
0;24;Stephansdom;Donauinsel (U6);driving;16.066666666666666;7395
0;25;Stephansdom;Donauinsel (Brigittenauer Brücke);walking;65.0;5188
0;25;Stephansdom;Donauinsel (Brigittenauer Brücke);transit;28.933333333333334;5582
0;25;Stephansdom;Donauinsel (Brigittenauer Brücke);bicycling;19.35;5405
0;25;Stephansdom;Donauinsel (Brigittenauer Brücke);driving;13.85;5700
0;26;Stephansdom;Donauinsel (U1);walking;52.916666666666664;4204
0;26;Stephansdom;Donauinsel (U1);transit;14.766666666666667;4388
0;26;Stephansdom;Donauinsel (U1);bicycling;17.883333333333333;5174
0;26;Stephansdom;Donauinsel (U1);driving;11.516666666666667;4245
0;27;Stephansdom;Donauinsel (Kaisermühlenbrücke);walking;61.983333333333334;4942
0;27;Stephansdom;Donauinsel (Kaisermühlenbrücke);transit;23.3;5074
0;27;Stephansdom;Donauinsel (Kaisermühlenbrücke);bicycling;20.066666666666666;5920
0;27;Stephansdom;Donauinsel (Kaisermühlenbrücke);driving;13.2;5796
0;28;Stephansdom;Donauinsel (U2);walking;81.51666666666667;6578
0;28;Stephansdom;Donauinsel (U2);transit;27.116666666666667;7086
0;28;Stephansdom;Donauinsel (U2);bicycling;24.916666666666668;7548
0;28;Stephansdom;Donauinsel (U2);driving;15.95;9669
0;29;Stephansdom;Donauinsel (Steinspornbrücke);walking;109.26666666666667;8810
0;29;Stephansdom;Donauinsel (Steinspornbrücke);transit;39.166666666666664;10424
0;29;Stephansdom;Donauinsel (Steinspornbrücke);bicycling;33.63333333333333;10583
0;29;Stephansdom;Donauinsel (Steinspornbrücke);driving;15.816666666666666;10502
0;30;Stephansdom;Donauinsel (Kraftwerkbrücke);walking;122.03333333333333;9964
0;30;Stephansdom;Donauinsel (Kraftwerkbrücke);transit;53.4;12653
0;30;Stephansdom;Donauinsel (Kraftwerkbrücke);bicycling;34.7;11086
