place1index;place2index;place1name;place2name;mode;duration;distance;place2_x;place2_y;place1_x;place1_y
0;0;1;Stephansdom;Kunsthistorisches Museum;walking;13.883333333333333;1100;451.29885677046815;557.4172778731614;516.9;523.84
1;0;1;Stephansdom;Kunsthistorisches Museum;transit;6.5;1593;451.29885677046815;557.4172778731614;516.9;523.84
2;0;1;Stephansdom;Kunsthistorisches Museum;bicycling;6.483333333333333;1806;451.29885677046815;557.4172778731614;516.9;523.84
3;0;1;Stephansdom;Kunsthistorisches Museum;driving;8.65;2634;451.29885677046815;557.4172778731614;516.9;523.84
4;0;2;Stephansdom;Sch�nbrunn Palace;walking;93.81666666666666;7415;191.3188775335804;718.448416588232;516.9;523.84
5;0;2;Stephansdom;Sch�nbrunn Palace;transit;35.45;8019;191.3188775335804;718.448416588232;516.9;523.84
6;0;2;Stephansdom;Sch�nbrunn Palace;bicycling;23.05;6525;191.3188775335804;718.448416588232;516.9;523.84
7;0;2;Stephansdom;Sch�nbrunn Palace;driving;17.783333333333335;7245;191.3188775335804;718.448416588232;516.9;523.84
8;1;2;Kunsthistorisches Museum;Sch�nbrunn Palace;walking;77.03333333333333;6219;191.3188775335804;718.448416588232;516.9;523.84
9;1;2;Kunsthistorisches Museum;Sch�nbrunn Palace;transit;34.61666666666667;7665;191.3188775335804;718.448416588232;516.9;523.84
10;1;2;Kunsthistorisches Museum;Sch�nbrunn Palace;bicycling;17.05;4877;191.3188775335804;718.448416588232;516.9;523.84
11;1;2;Kunsthistorisches Museum;Sch�nbrunn Palace;driving;12.8;5678;191.3188775335804;718.448416588232;516.9;523.84
12;0;3;Stephansdom;Naschmarkt;walking;23.05;1810;441.06876106679476;626.6617038562856;516.9;523.84
13;0;3;Stephansdom;Naschmarkt;transit;10.683333333333334;1938;441.06876106679476;626.6617038562856;516.9;523.84
14;0;3;Stephansdom;Naschmarkt;bicycling;8.666666666666666;2327;441.06876106679476;626.6617038562856;516.9;523.84
15;0;3;Stephansdom;Naschmarkt;driving;9.5;2914;441.06876106679476;626.6617038562856;516.9;523.84
16;1;3;Kunsthistorisches Museum;Naschmarkt;walking;13.083333333333334;1053;441.06876106679476;626.6617038562856;516.9;523.84
17;1;3;Kunsthistorisches Museum;Naschmarkt;transit;9.85;1584;441.06876106679476;626.6617038562856;516.9;523.84
18;1;3;Kunsthistorisches Museum;Naschmarkt;bicycling;4.7;1406;441.06876106679476;626.6617038562856;516.9;523.84
19;1;3;Kunsthistorisches Museum;Naschmarkt;driving;4.516666666666667;1347;441.06876106679476;626.6617038562856;516.9;523.84
20;2;3;Sch�nbrunn Palace;Naschmarkt;walking;70.15;5645;441.06876106679476;626.6617038562856;516.9;523.84
21;2;3;Sch�nbrunn Palace;Naschmarkt;transit;25.08333333333333;6083;441.06876106679476;626.6617038562856;516.9;523.84
22;2;3;Sch�nbrunn Palace;Naschmarkt;bicycling;13.15;4237;441.06876106679476;626.6617038562856;516.9;523.84
23;2;3;Sch�nbrunn Palace;Naschmarkt;driving;11.0;4363;441.06876106679476;626.6617038562856;516.9;523.84
24;0;4;Stephansdom;Haus der Musik;walking;8.383333333333333;676;516.6562720589841;564.997963539514;516.9;523.84
25;0;4;Stephansdom;Haus der Musik;transit;8.383333333333333;676;516.6562720589841;564.997963539514;516.9;523.84
26;0;4;Stephansdom;Haus der Musik;bicycling;3.2666666666666666;672;516.6562720589841;564.997963539514;516.9;523.84
27;0;4;Stephansdom;Haus der Musik;driving;6.116666666666666;1689;516.6562720589841;564.997963539514;516.9;523.84
28;1;4;Kunsthistorisches Museum;Haus der Musik;walking;12.55;1027;516.6562720589841;564.997963539514;516.9;523.84
29;1;4;Kunsthistorisches Museum;Haus der Musik;transit;10.466666666666669;1287;516.6562720589841;564.997963539514;516.9;523.84
30;1;4;Kunsthistorisches Museum;Haus der Musik;bicycling;3.583333333333333;1199;516.6562720589841;564.997963539514;516.9;523.84
31;1;4;Kunsthistorisches Museum;Haus der Musik;driving;6.916666666666667;1960;516.6562720589841;564.997963539514;516.9;523.84
32;2;4;Sch�nbrunn Palace;Haus der Musik;walking;88.0;7062;516.6562720589841;564.997963539514;516.9;523.84
33;2;4;Sch�nbrunn Palace;Haus der Musik;transit;33.85;7602;516.6562720589841;564.997963539514;516.9;523.84
34;2;4;Sch�nbrunn Palace;Haus der Musik;bicycling;19.83333333333333;5776;516.6562720589841;564.997963539514;516.9;523.84
35;2;4;Sch�nbrunn Palace;Haus der Musik;driving;16.616666666666667;6151;516.6562720589841;564.997963539514;516.9;523.84
36;3;4;Naschmarkt;Haus der Musik;walking;19.816666666666663;1548;516.6562720589841;564.997963539514;516.9;523.84
37;3;4;Naschmarkt;Haus der Musik;transit;8.766666666666667;1521;516.6562720589841;564.997963539514;516.9;523.84
38;3;4;Naschmarkt;Haus der Musik;bicycling;6.166666666666667;1685;516.6562720589841;564.997963539514;516.9;523.84
39;3;4;Naschmarkt;Haus der Musik;driving;5.966666666666667;1832;516.6562720589841;564.997963539514;516.9;523.84
40;0;5;Stephansdom;Tiergarten;walking;88.36666666666666;7043;120.3702946944959;756.4052051857931;516.9;523.84
41;0;5;Stephansdom;Tiergarten;transit;30.55;7573;120.3702946944959;756.4052051857931;516.9;523.84
42;0;5;Stephansdom;Tiergarten;bicycling;26.1;7582;120.3702946944959;756.4052051857931;516.9;523.84
43;0;5;Stephansdom;Tiergarten;driving;21.316666666666663;8596;120.3702946944959;756.4052051857931;516.9;523.84
44;1;5;Kunsthistorisches Museum;Tiergarten;walking;72.11666666666666;5773;120.3702946944959;756.4052051857931;516.9;523.84
45;1;5;Kunsthistorisches Museum;Tiergarten;transit;29.716666666666665;7219;120.3702946944959;756.4052051857931;516.9;523.84
