index;name;address;latitude;longitude
0;Stephansdom;Stephansplatz 3, 1010 Wien, Austria;48.208494349999995;16.37315635
1;Kunsthistorisches Museum;Maria-Theresien-Platz, 1010 Wien, Austria;48.20468735;16.3610039
2;Schönbrunn Palace;Schönbrunner Schloßstraße 47, 1130 Wien, Austria;48.1864296;16.31284325
3;Naschmarkt;Kettenbrückengasse U4 Station, 1050 Wien, Austria;48.19683640000001;16.3591088
4;Haus der Musik;Seilerstätte 30, 1010 Wien, Austria;48.203827849999996;16.3731112
5;Tiergarten;Maxingstraße 13b, 1130 Wien, Austria;48.182126049999994;16.2997002
6;MuseumsQuartier;Museumsplatz 1, 1070 Wien, Austria;48.203194800000006;16.358634000000002
7;Staatsoper;Opernring 2, 1010 Wien, Austria;48.20325824999999;16.36922015
8;Schloss Belvedere;Prinz-Eugen-Straße 27, 1030 Wien, Austria;48.19120275;16.3796543
9;Hofburg;Neue Burg Heldenplatz Untergeschoß, Heldenplatz, 1010 Wien, Austria;48.20554695;16.3646959
10;Museum Judenplatz;Judenpl. 8, 1010 Wien, Austria;48.21166045;16.36894685
11;Albertina Modern;Karlsplatz 5, 1010 Wien, Austria;48.20041419999999;16.37153585
12;Naturhistorisches Museum;Burgring 7, 1010 Wien, Austria;48.20528135;16.35973505
13;Rathaus;Friedrich-Schmidt-Platz 1, 1010 Wien, Austria;48.21095464999999;16.35642185
14;Riesenrad;Gaudeegasse 1, 1020 Wien, Austria;48.21766509999999;16.3965837
15;Spanische Hofreitschule;Michaelerplatz 1, 1010 Wien, Austria;48.20779829999999;16.3664605
16;Kapuzinergruft;Tegetthoffstraße 2, 1010 Wien, Austria;48.20579225;16.369749700000007
17;Peterskirche;Peterspl. 1, 1010 Wien, Austria;48.20916149999999;16.37006195
18;Demel;Kohlmarkt 14, 1010 Wien, Austria;48.20873254999999;16.36733425
19;Karlskirche;Karlskirche, Karlsplatz 10, 1040 Wien, Austria;48.19835359999999;16.3720422
20;Donauturm;Donauturmplatz 1, 1220 Wien, Austria;48.240408;16.4097552
21;Hundertwasserhaus;Kegelgasse 36-38, 1030 Wien, Austria;48.20748655;16.394436
22;Donauinsel (Nordbrücke);794H+FF Vienna, Austria;48.256187499999996;16.378687499999998
23;Donauinsel (Bim Floridsdorfer Brücke);69XQ+F6 Vienna, Austria;48.248687499999996;16.3880625
24;Donauinsel (U6); Sportinsel, 1210 Wien, Austria;48.243832749999996;16.3911919
25;Donauinsel (Brigittenauer Brücke);Brigittenauer Brücke, 1210 Wien, Austria;48.239195499999994;16.396915399999997
26;Donauinsel (U1);Reichsbrücke 215, 1020 Wien, Austria;48.22590405;16.412838100000002
27;Donauinsel (Kaisermühlenbrücke);Kaisermühlenbrücke, 1220 Wien, Austria;48.22254890000001;16.41977395
28;Donauinsel (U2);Donauinsel Umkehrpunkt, Austria;48.21068989999999;16.4350074
29;Donauinsel (Steinspornbrücke);Steinspornbrücke 2, 1220 Wien, Austria;48.1928616;16.463233199999998
